Epoch,Train Loss,Test Loss,Train Acc (%),Test Acc (%),Learning Rate
1,1.7498014592148763,1.2956433567819716,35.244,52.3,0.0009972609476841367
2,1.275096887212885,1.0439397685135468,54.094,62.53,0.0009890738003669028
3,1.0583078556353478,0.8997169899035103,62.506,67.17,0.0009755282581475768
4,0.9309757411327508,0.8372928975503656,67.74,70.98,0.0009567727288213003
5,0.8313256553981615,0.9040259092668944,71.46,70.95,0.0009330127018922195
6,0.7538256466083819,0.6654810735696479,74.2,76.88,0.0009045084971874739
7,0.688934259554919,0.6429492940631094,76.93,78.66,0.0008715724127386972
8,0.627208507884189,0.564833160442642,79.146,80.58,0.0008345653031794292
9,0.5878146386055081,0.5498528578613378,80.476,81.22,0.0007938926261462366
10,0.5403949570320451,0.4837925796267353,82.218,83.78,0.00075
11,0.5020051745654982,0.4951505611968946,83.518,83.43,0.0007033683215379003
12,0.46687177715399075,0.5540697740603097,84.714,81.67,0.0006545084971874739
13,0.4334247533775047,0.5115698949445652,85.914,83.42,0.0006039558454088797
14,0.409532558201524,0.488071772116649,86.716,84.04,0.0005522642316338269
15,0.37708312406411865,0.42099501701849923,87.624,86.16,0.0005000000000000002
16,0.3530347331253159,0.43250055101853385,88.496,86.0,0.0004477357683661734
17,0.32578732759294,0.39052039233944086,89.19,87.12,0.00039604415459112036
18,0.3079268119829085,0.39548781344407724,89.832,87.47,0.0003454915028125264
19,0.28338401549307585,0.36813698803322226,90.636,88.65,0.00029663167846210003
20,0.2672740151281552,0.3638502234899545,91.21,88.62,0.00025000000000000017
21,0.2482385401949858,0.35358007535149777,91.814,89.07,0.00020610737385376354
22,0.22811044036122538,0.3583427931689009,92.45,89.04,0.00016543469682057108
23,0.21770430123790754,0.35876767412771154,92.8,89.25,0.00012842758726130303
24,0.2052342205325051,0.34945573403110985,93.244,89.62,9.549150281252637e-05
25,0.19187069314596295,0.34702839259105395,93.646,89.57,6.698729810778068e-05
26,0.18185522073827437,0.34972346790983705,93.95,89.64,4.322727117869953e-05
27,0.18106285168234346,0.344676763385157,93.96,89.99,2.447174185242324e-05
28,0.1714232155429128,0.34215891568721096,94.332,90.22,1.092619963309716e-05
29,0.1696167498865091,0.34531433842604675,94.438,90.11,2.7390523158633003e-06
30,0.16738176749795294,0.34493936673749853,94.492,90.08,0.0
